id,type_of_property,subtype_of_property,locality,price,type_of_sale,rooms,condition,equipped_kitchen,furnished,terrace,garden,open_fire,hasSwimmingPool,living_area_m2,surface_of_land_m2,number_frontage
9316551,house,apartment block,4000,229000,private,8,to restore,not installed,1,,30,,False,275,80,2
9316312,house,house,4053,365000,private,4,good,installed,0,93,232,,False,252,339,3
9315536,house,villa,4317,550000,private,6,,,0,35,2000,,False,290,0,4
9315311,house,house,4430,375000,private,4,good,hyper equipped,,,315,,False,290,480,2
9315043,house,country cottage,4880,875000,private,4,,installed,0,89,,,False,273,2817,4
9314225,house,exceptional property,4161,975000,private,6,as new,,,,,,False,320,5000,4
9314021,house,house,4683,237000,private,2,,installed,0,28,,,False,91,1856,3
9313521,house,house,4960,870000,private,7,as new,installed,0,36,,,True,500,17000,4
9312832,house,house,4040,112000,private,1,good,installed,0,,165,,False,40,215,4
9311513,house,house,4101,140000,private,2,good,installed,0,10,120,,False,95,120,2
9310894,house,house,4601,210000,private,3,just renovated,installed,,,,,False,130,188,4
9310463,house,house,4900,235000,private,3,as new,hyper equipped,0,,,,False,162,223,3
9309971,house,house,4101,109000,private,1,good,not installed,0,,,,False,63,70,2
9309402,house,house,4821,145000,private,2,to be done up,,,,,,False,125,152,2
9309155,house,house,4480,195000,private,3,good,semi equipped,0,20,900,,False,120,977,3
9308237,house,house,4100,158000,private,3,to renovate,,,,,,False,,0,2
9307451,house,house,4052,180000,public,3,to renovate,,,,,,False,137,793,4
9307109,house,house,4920,530000,private,5,as new,hyper equipped,0,120,,,False,300,1618,4
9306818,house,house,4101,55000,private,1,to restore,not installed,0,5,,,False,40,90,3
9109565,house,mixed use building,4000,375000,private,5,good,semi equipped,0,,,,False,,230,2
9305938,house,villa,4800,440000,private,3,to be done up,installed,,,,1,False,235,1300,4
9305514,house,house,4480,150000,private,2,good,installed,,,,,False,93,430,4
9305129,house,villa,4850,497000,private,3,good,,,,,,False,240,1101,4
9305010,house,house,4630,365880,private,4,as new,usa hyper equipped,0,24,350,,False,141,499,3
9304999,house,house,4800,323123,private,3,,usa hyper equipped,0,29,,,False,164,265,2
9304984,house,house,4340,300000,private,3,as new,installed,0,25,600,,False,165,872,4
