id,type_of_property,subtype_of_property,locality,price,type_of_sale,rooms,condition,equipped_kitchen,furnished,terrace,garden,open_fire,hasSwimmingPool,living_area_m2,surface_of_land_m2,number_frontage
9316554,house,apartment block,4000,529000,private,16,to restore,not installed,1,,100,,False,604,523,2
9316327,house,house,4710,270000,private,7,,installed,,,,,False,192,558,4
9315593,house,apartment block,4900,369000,private,5,good,,0,4,,,False,284,104,2
9315066,house,house,4020,185000,private,2,,installed,0,30,,,False,92,139,3
9314239,house,villa,4180,324900,private,3,as new,,,,,,False,,1900,4
9314039,house,house,4620,215000,private,3,as new,installed,,13,,,False,121,75,2
9313597,house,house,4100,30000,private,1,to renovate,,0,,,,False,,110,3
9312849,house,house,4630,60000,private,3,to renovate,,,,,,False,95,200,2
9312382,house,house,4610,248000,private,3,good,,,,,,False,132,339,3
9311916,house,house,4460,194900,private,2,as new,installed,0,50,50,,False,110,190,2
9311603,house,apartment block,4000,1462000,private,14,as new,installed,,10,,,False,593,0,4
9310982,house,villa,4261,220000,private,4,,,,,,,False,120,854,4
9310494,house,bungalow,4400,370000,private,2,,installed,,18,240,,False,80,610,4
9309972,house,house,4250,70000,public,3,to be done up,,,,,,False,160,0,2
9309403,house,house,4800,25000,private,5,good,,,,,,False,194,280,3
9309164,house,villa,4430,382500,private,3,as new,installed,0,30,855,,False,147,955,4
9308455,house,house,4600,75000,public,4,to be done up,installed,,,,,False,,2380,4
9308238,house,apartment block,4020,199000,public,4,good,,,,,,False,,0,2
9307127,house,house,4630,323583,private,3,as new,usa hyper equipped,0,24,200,,False,143,343,2
9306819,house,mixed use building,4620,225000,private,2,good,installed,0,15,100,,False,70,155,2
9306132,house,house,4730,178000,private,3,to renovate,,,,390,1,False,105,390,2
9305962,house,mixed use building,4100,40000,private,2,good,installed,0,,,,False,95,380,2
9305612,house,house,4530,449000,private,4,as new,installed,,,450,1,False,330,893,2
9305140,house,villa,4053,850000,private,4,as new,hyper equipped,0,,,,False,,966,4
9305011,house,house,4800,320700,private,3,as new,usa hyper equipped,0,26,250,,False,98,411,3
9305000,house,house,4800,325447,private,3,,usa hyper equipped,0,31,,,False,164,240,2
9304990,house,house,4100,389800,private,3,,usa hyper equipped,0,26,,,False,128,357,3
9304937,house,house,4031,185000,private,3,to be done up,installed,0,27,48,,False,132,135,2
9304148,house,house,4100,230000,private,3,,installed,0,14,200,,False,210,265,2
9303871,house,villa,4052,575000,private,5,,,,,,,False,,1000,4
9303446,house,house,4870,40000,public,2,to renovate,,,,,,False,173,559,2
9303095,house,town house,4432,275000,private,3,to renovate,semi equipped,0,,,,False,160,730,2
9302060,house,house,4620,329000,private,3,as new,installed,,35,400,1,False,130,500,3
9301702,house,town house,4500,125000,public,3,to renovate,installed,,,,,False,490,245,2
9301232,house,villa,4840,200000,public,4,to renovate,,,,,,False,,0,4
9300975,house,house,4400,267915,private,3,,,,,,,False,,230,3
9300755,house,house,4101,154900,private,2,good,,0,,,,False,85,99,2
9300120,house,house,4540,149500,private,3,to renovate,not installed,,,160,,False,120,256,2
9299464,house,house,4102,99000,private,3,to renovate,not installed,0,,159,,False,103,261,3
9299193,house,villa,4845,425000,private,3,,installed,0,20,,1,False,217,934,4
9255715,house,house,4032,85000,private,2,good,,0,,,,False,48,107,3
9298580,house,bungalow,4162,275000,private,4,to be done up,usa installed,,,645,,False,210,800,4
9298019,house,house,4690,230000,private,2,to be done up,semi equipped,0,14,175,,False,170,356,3
9297564,house,house,4671,265000,private,2,,,,,,,False,95,600,4
9297171,house,apartment block,4100,169000,private,5,to renovate,not installed,,30,,,False,167,205,4
9296896,house,house,4140,298000,private,3,as new,usa installed,,32,60,,False,165,179,2
9260369,house,house,4530,350000,private,3,good,installed,0,,,1,False,260,1774,4
9295952,house,country cottage,4218,299000,private,3,as new,installed,,,1784,2,False,158,1864,4
9295559,house,house,4030,116000,private,2,,semi equipped,0,,,,False,75,0,2
9295310,house,house,4041,209645,private,3,as new,,,,,,False,,306,3
9295110,house,house,4000,381910,private,4,as new,usa hyper equipped,0,24,,,False,143,789,3
9294852,house,house,4540,310000,private,4,as new,semi equipped,0,,500,,False,162,834,4
9293869,house,apartment block,4000,739000,private,3,just renovated,installed,1,,,,False,135,0,2
9293509,house,town house,4430,229000,private,2,good,,0,11,121,,False,143,169,2
9015660,house,house,4610,135000,private,2,to be done up,,,,,,False,,220,3
9293063,house,house,4530,200000,private,4,to be done up,installed,0,,260,,False,173,530,4
9292906,house,house,4101,97000,private,3,to renovate,semi equipped,0,,47,,False,95,1,2
9292323,house,mixed use building,4590,279000,private,2,to be done up,semi equipped,0,3,,,False,177,94,2
8939427,house,house,4420,280000,private,3,as new,installed,,25,250,,False,248,370,2
9291126,house,house,4960,150000,private,1,just renovated,installed,1,,,,False,60,0,2
9290804,house,bungalow,4690,330000,private,5,to be done up,usa semi equipped,0,31,1000,,False,236,1250,4
9289804,house,house,4452,360000,private,3,as new,hyper equipped,,,,1,False,145,685,3
9289518,house,house,4040,155000,private,3,good,installed,0,22,682,,False,110,770,3
9263843,house,villa,4470,325000,private,3,as new,hyper equipped,,,,,False,,600,4
9286125,house,house,4000,289000,private,3,good,installed,,30,,1,False,130,350,4
9287193,house,house,4800,140000,private,3,,installed,,,,,False,,65,2
9286832,house,house,4600,830000,private,4,good,installed,0,58,604,,False,383,948,3
9286332,house,villa,4470,259450,private,3,,,,,,,False,,900,4
9285683,house,house,4610,147000,private,3,just renovated,hyper equipped,,,,,False,91,30,2
9285262,house,house,4000,235000,private,4,to renovate,installed,0,30,60,,False,160,415,2
9284816,house,house,4100,109000,private,1,to be done up,,0,,,,False,,0,2
9284023,house,house,4920,325000,private,3,,installed,,65,200,1,False,180,350,3
9283184,house,apartment block,4020,729000,private,13,just renovated,hyper equipped,,50,,,False,340,150,2
9282573,house,house,4140,270000,private,5,good,semi equipped,0,30,972,,False,172,1247,4
9281528,house,house,4020,109000,private,3,to be done up,,0,20,150,,False,85,185,2
8835570,house,apartment block,4728,319000,private,5,to be done up,,,,,,False,,275,3
9280627,house,house,4040,280000,private,3,good,installed,,,272,,False,182,414,3
9279846,house,villa,4300,323000,private,4,as new,,,,,,False,116,578,4
9278768,house,villa,4400,395000,private,3,good,not installed,0,92,692,,False,269,838,4
9278160,house,farmhouse,4630,319000,private,11,just renovated,,0,,,,False,390,1453,4
9251846,house,house,4041,335000,private,4,,,0,,,,False,,950,4
9276746,house,house,4042,352240,private,4,as new,usa hyper equipped,0,24,160,,False,141,342,3
9276499,house,house,4670,375000,private,3,,,0,,,,False,304,602,2
9275841,house,house,4031,220000,private,2,as new,installed,0,25,50,,False,100,50,2
9275032,house,house,4920,199000,private,3,,,,,300,,False,140,377,2
9274461,house,house,4990,389000,private,5,,installed,,,,2,False,320,2688,4
9273915,house,mansion,4000,315000,private,7,to renovate,installed,0,28,93,,False,205,276,2
8995661,house,house,4830,230000,private,4,as new,installed,,24,96,,True,200,146,2
9272775,house,apartment block,4020,595000,private,12,to be done up,not installed,0,40,,,False,350,231,2
8830564,house,house,4728,395000,private,6,to be done up,,,,,,False,300,986,3
9271597,house,apartment block,4800,195000,private,6,good,semi equipped,0,,,,False,370,180,2
