id,type_of_property,subtype_of_property,locality,price,type_of_sale,rooms,condition,equipped_kitchen,furnished,terrace,garden,open_fire,hasSwimmingPool,living_area_m2,surface_of_land_m2,number_frontage
9316548,house,apartment block,4000,199000,private,3,to renovate,not installed,0,60,,,False,198,135,2
9316158,house,farmhouse,4560,420000,private,6,to renovate,not installed,,,11500,,False,338,12493,4
9315503,house,house,4500,125000,private,2,to renovate,semi equipped,0,,,,False,80,0,2
9315294,house,house,4801,183000,private,2,good,installed,0,21,223,,False,147,261,2
9314792,house,house,4530,199000,private,3,just renovated,installed,,,,,False,100,200,3
9314200,house,mixed use building,4000,2100000,private,13,as new,,,,,,False,,247,3
9313323,house,farmhouse,4400,230000,private,3,,not installed,,50,6610,,False,250,6742,4
9030981,house,mixed use building,4020,225000,private,2,as new,semi equipped,,60,,,False,82,165,2
9312199,house,villa,4530,369000,private,3,as new,hyper equipped,0,,,,False,200,860,4
9305751,house,house,4000,149900,private,2,,,,,,,False,80,60,2
9310855,house,town house,4340,389000,private,5,as new,installed,0,36,,,False,210,650,3
9310217,house,house,4500,265000,private,3,,,,,,,False,215,429,2
9309726,house,house,4100,215000,private,4,good,semi equipped,,,40,,False,116,176,2
9167287,house,house,4960,200000,private,3,to be done up,,,,,,False,,0,2
9308734,house,house,4254,195000,private,4,good,installed,0,,390,,False,122,390,2
9308364,house,villa,4280,425000,private,5,good,installed,0,20,,,False,262,1205,4
9307838,house,house,4850,183000,private,3,good,installed,,,380,,False,120,444,3
9307392,house,manor house,4980,1299000,private,17,as new,installed,,,,,False,500,30000,4
9306981,house,mixed use building,4032,169500,private,1,good,semi equipped,0,,,,False,105,0,2
9306444,house,apartment block,4802,298500,private,4,good,semi equipped,0,14,,,False,192,111,2
9306093,house,house,4920,455000,private,4,,installed,,60,110,,False,241,512,3
9305919,house,house,4500,290000,private,6,to be done up,semi equipped,,,300,,False,400,160,2
9201989,house,house,4100,169000,private,1,to be done up,,,,,,False,140,86,2
9305020,house,house,4020,312172,private,3,as new,usa hyper equipped,0,28,,,False,130,426,3
9305006,house,house,4042,415880,private,4,,usa semi equipped,0,36,,,False,152,436,3
9304996,house,house,4610,328620,private,3,as new,usa hyper equipped,0,24,340,,False,125,521,3
9304976,house,house,4400,25000,private,3,to be done up,,,25,110,,False,111,250,4
9304807,house,bungalow,4621,249000,private,2,,installed,0,,,,False,105,567,4
9304078,house,house,4684,120000,private,2,to renovate,,,,10,,False,,83,2
9303626,house,villa,4802,490000,private,3,good,semi equipped,,50,1000,,True,285,1705,4
9303247,house,mixed use building,4101,149000,private,2,,,,,,,False,,100,2
9302520,house,house,4130,469000,private,3,good,hyper equipped,1,42,,1,False,140,1600,4
9301932,house,house,4400,270000,private,3,as new,installed,,,,,False,130,554,3
9301594,house,apartment block,4820,150000,private,7,to renovate,,,,,,False,300,281,2
9301093,house,house,4040,260000,private,3,good,usa installed,,,123,,False,110,167,3
9300913,house,house,4670,179000,private,4,,installed,0,8,,,False,139,258,2
9236533,house,house,4610,199000,private,2,to renovate,not installed,0,,1200,,False,80,1271,3
9300042,house,house,4030,195000,private,2,to renovate,,0,,,,False,,200,3
