id,type_of_property,subtype_of_property,locality,price,type_of_sale,rooms,condition,equipped_kitchen,furnished,terrace,garden,open_fire,hasSwimmingPool,living_area_m2,surface_of_land_m2,number_frontage
9316691,house,mixed use building,4000,420000,private,3,good,installed,0,,,,False,210,0,2
9316444,house,villa,4537,599000,private,4,as new,installed,,,,,False,300,2853,4
9315727,house,house,4860,143500,private,3,good,semi equipped,0,35,150,,False,101,233,3
9315329,house,house,4120,165000,private,2,to be done up,,,,,,False,,235,2
9315068,house,house,4880,875000,private,4,,installed,0,89,,,False,273,2817,4
9314386,house,villa,4577,390000,public,4,to be done up,installed,,,1800,,True,,0,4
9314052,house,apartment block,4802,260000,private,8,to be done up,,,,,,False,,0,2
9313608,house,house,4690,249000,private,4,good,semi equipped,,20,110,,False,200,825,4
9312489,house,house,4042,189000,private,2,as new,semi equipped,,29,362,,False,106,468,2
9312034,house,house,4020,90000,private,2,to renovate,,0,,90,,False,,181,2
9311608,house,mixed use building,4020,399900,private,5,good,hyper equipped,0,,45,,False,220,220,2
9311158,house,house,4432,215000,private,2,,installed,,9,,,False,108,0,2
9310581,house,town house,4140,305000,private,4,as new,hyper equipped,,,,,False,172,248,2
9310065,house,house,4400,174500,private,2,to be done up,not installed,0,80,460,,False,135,600,4
9309528,house,mixed use building,4770,1500000,private,50,to be done up,,0,1000,10000,,False,2600,71907,4
9309166,house,house,4000,265000,private,5,as new,semi equipped,0,20,,,False,189,150,2
9308532,house,mixed use building,4800,235000,private,4,just renovated,not installed,0,,,,False,222,63,2
9308282,house,mansion,4041,235000,private,5,,,,,,,False,,338,3
9307554,house,house,4602,60000,private,2,to renovate,not installed,0,,,,False,,138,3
9307162,house,house,4190,79000,private,1,to renovate,not installed,0,15,,,False,60,566,4
9306821,house,mixed use building,4800,540000,private,2,good,usa installed,0,185,,,True,850,559,2
9306164,house,house,4101,159000,private,2,as new,installed,0,22,,,False,90,80,2
9170202,house,mixed use building,4102,229000,private,3,good,semi equipped,0,,,,False,150,74,2
9305761,house,house,4280,325000,private,3,,,0,,,,False,,917,4
9305228,house,apartment block,4180,550000,private,12,good,hyper equipped,1,,,,False,,0,4
