id,type_of_property,subtype_of_property,locality,price,type_of_sale,rooms,condition,equipped_kitchen,furnished,terrace,garden,open_fire,hasSwimmingPool,living_area_m2,surface_of_land_m2,number_frontage
9316550,house,apartment block,4000,179000,private,5,to restore,not installed,,30,,,False,240,153,2
9316232,house,house,4400,295000,private,2,good,installed,0,85,,,False,213,208,4
9315526,house,villa,4140,350000,private,4,good,semi equipped,,,,,False,166,970,4
9315310,house,house,4000,160000,private,4,to be done up,,,,,,False,89,100,2
9314947,house,villa,4040,697000,private,4,as new,hyper equipped,,40,,,False,470,2092,4
9314224,house,villa,4121,895000,private,10,,,,,,1,False,550,17500,4
9313518,house,mixed use building,4000,490000,private,6,good,semi equipped,0,,,,False,254,66,2
9312771,house,house,4420,119000,private,2,to renovate,not installed,0,15,,,False,90,143,2
9312278,house,house,4218,250000,private,4,as new,installed,,70,,,False,130,222,3
9311794,house,house,4253,295000,private,3,,,,,,,False,140,825,4
9311410,house,house,4800,80000,private,3,,installed,0,,800,,False,150,1034,4
9310881,house,bungalow,4400,350000,private,2,just renovated,installed,,60,,,False,116,605,4
9310442,house,house,4100,140000,private,2,good,semi equipped,,,,,False,80,0,2
9309893,house,country cottage,4920,60000,public,4,to renovate,,,,,,False,164,1293,4
9250873,house,bungalow,4450,319000,private,4,good,installed,,2,507,,False,112,638,4
9309147,house,house,4000,545000,private,4,,,,16,,,False,313,260,2
9308420,house,house,4000,125000,public,4,good,installed,0,,,,False,198,330,2
9308022,house,mixed use building,4621,415000,public,3,as new,installed,,25,2000,,False,270,2355,4
9307102,house,house,4101,129900,private,3,good,,,,,,False,82,0,3
9306440,house,house,4122,305000,private,3,good,installed,0,35,160,1,False,125,400,2
9306118,house,house,4300,159000,private,3,,semi equipped,0,,,,False,,190,2
9305937,house,house,4602,60000,public,2,,,,,,,False,,260,3
9305452,house,house,4920,190000,private,1,good,installed,,,150,,False,60,300,3
9305113,house,house,4400,290000,private,2,as new,usa installed,0,75,,,False,140,163,3
9305008,house,house,4042,376105,private,4,as new,usa hyper equipped,0,24,,,False,146,369,3
9304998,house,house,4800,443629,private,4,,usa hyper equipped,0,43,,,False,220,514,3
9304979,house,house,4800,149000,private,4,to be done up,installed,,35,60,,False,158,140,2
9304877,house,house,4340,169000,private,3,to renovate,not installed,0,13,280,,False,120,484,2
9304111,house,mixed use building,4000,229000,private,4,to renovate,,,,,,False,200,70,2
9303750,house,house,4020,138000,private,4,just renovated,,0,7,,,False,92,91,2
9303339,house,house,4600,290000,private,2,good,hyper equipped,,,170,,False,170,340,2
9302989,house,house,4140,305000,private,3,as new,usa installed,,,15,,False,165,145,3
9302041,house,house,4100,89000,private,2,to be done up,,,,,,False,,238,3
9301630,house,house,4040,239000,private,5,to be done up,,0,30,180,,False,230,473,3
9301096,house,house,4102,215000,private,3,good,installed,0,17,285,,False,141,354,2
9300730,house,house,4040,215000,private,4,to be done up,not installed,,42,220,,False,166,301,2
9300055,house,house,4431,179000,private,3,good,semi equipped,0,41,,,False,100,181,2
9299716,house,apartment block,4000,157000,private,3,to be done up,semi equipped,0,55,,,False,116,103,3
9299447,house,house,4000,150000,private,3,,,0,,260,,False,190,400,3
9299191,house,villa,4845,380000,private,4,,installed,0,20,,1,False,266,1010,4
9298864,house,house,4801,130000,private,3,to restore,,,,4188,,False,150,4268,4
9298566,house,house,4420,359000,private,4,as new,installed,,30,,,False,216,323,4
9297838,house,house,4100,85000,private,2,to be done up,installed,0,,,,False,100,42,2
9297407,house,house,4650,269000,private,4,good,installed,0,11,,,False,152,0,2
9297095,house,house,4317,224000,private,4,good,semi equipped,0,58,1041,,False,175,1110,3
9296894,house,house,4140,275000,private,3,as new,usa installed,0,8,15,,False,165,153,2
9296442,house,house,4530,189500,private,2,good,installed,0,,,,False,120,30,3
9296232,house,house,4602,125000,private,3,,installed,0,,,,False,161,410,2
9295946,house,exceptional property,4032,469000,private,2,to renovate,installed,0,,,,False,,0,3
9295539,house,town house,4000,249000,private,2,good,hyper equipped,1,10,23,,True,120,112,2
9295270,house,house,4041,190417,private,3,as new,,,,,,False,,210,2
9294909,house,house,4860,159500,private,2,to be done up,semi equipped,0,,70,,False,110,113,3
9294819,house,house,4032,126500,private,3,to be done up,semi equipped,0,,103,,False,115,170,2
9293842,house,exceptional property,4790,1150000,private,8,as new,installed,,,,1,False,680,6226,4
9164039,house,house,4350,240000,private,4,to renovate,,,,,,False,224,967,3
