id,type_of_property,subtype_of_property,locality,price,type_of_sale,rooms,condition,equipped_kitchen,furnished,terrace,garden,open_fire,hasSwimmingPool,living_area_m2,surface_of_land_m2,number_frontage
9316498,house,house,4970,145000,private,3,good,installed,0,,,,False,,187,2
9250010,house,house,4920,215000,private,5,to renovate,semi equipped,0,117,,,False,208,209,3
9315444,house,house,4300,225000,private,3,good,installed,,,,,False,130,422,2
9315171,house,house,4300,185000,private,3,just renovated,installed,0,20,165,,False,115,0,2
9314632,house,house,4030,195000,private,3,to restore,installed,,,,,False,100,70,2
9314179,house,house,4400,119000,private,3,to renovate,semi equipped,,,,,False,120,250,2
9313631,house,house,4100,179000,private,5,good,,0,,,,False,145,85,2
9111595,house,apartment block,4020,199000,private,5,good,semi equipped,,,,,False,,100,2
9310054,house,house,4432,190000,private,3,good,semi equipped,0,4,167,,False,100,251,2
9312151,house,house,4000,189000,private,2,good,installed,0,25,50,,False,105,116,3
9271193,house,bungalow,4020,495000,private,4,good,installed,,40,600,1,False,140,850,4
9087288,house,house,4317,270000,private,5,good,not installed,0,120,,1,False,187,1871,3
9310740,house,house,4870,99000,private,1,good,semi equipped,0,,,,False,70,0,2
9310136,house,house,4030,200000,private,3,good,not installed,,,100,,False,120,175,2
9309666,house,villa,4031,409000,private,4,good,installed,,,,1,False,150,1000,4
9309291,house,house,4683,249000,private,4,to be done up,installed,0,25,,,False,296,340,2
9308698,house,house,4671,310000,private,5,,installed,,,,,False,205,459,3
9308350,house,mixed use building,4500,400000,private,413,good,,0,,,,False,,199,2
9307814,house,country cottage,4557,139000,private,2,to renovate,semi equipped,0,,350,,False,81,443,3
9307204,house,house,4450,300000,private,3,,installed,0,,180,,False,165,291,3
9306958,house,house,4721,210000,private,3,good,installed,,,,,False,,185,3
9306418,house,apartment block,4500,259000,private,4,to be done up,semi equipped,0,,,,False,185,90,2
9306089,house,house,4100,105000,private,2,to be done up,,,,,,False,101,75,3
9305902,house,house,4500,375000,private,4,good,not installed,,20,,,False,185,187,3
9305344,house,house,4540,30000,public,2,to restore,,,,,,False,,928,3
9305018,house,house,4801,297360,private,3,as new,usa hyper equipped,0,22,,,False,100,375,3
9305005,house,house,4400,328485,private,3,,usa hyper equipped,0,27,,,False,137,383,2
9304995,house,town house,4650,373800,private,3,as new,usa hyper equipped,0,24,270,,False,145,406,3
9304975,house,house,4101,212703,private,3,,,,,,,False,170,212,3
9304775,house,bungalow,4100,225000,private,3,to be done up,,,,570,,False,,0,3
9304067,house,apartment block,4800,1100000,private,18,,installed,0,30,,,False,1500,570,4
9303610,house,villa,4317,289900,private,4,as new,,,,,,False,,500,3
9084646,house,house,4100,159000,private,2,to be done up,semi equipped,0,21,,,False,143,166,3
9302483,house,mansion,4130,255000,private,3,good,semi equipped,,,,,False,154,120,2
9301924,house,house,4340,195000,private,3,good,installed,,12,75,,False,126,206,2
9301556,house,apartment block,4420,295000,private,4,good,not installed,,,,,False,207,300,2
9301060,house,house,4257,249000,private,3,,,,,,,False,,470,3
9300861,house,house,4051,189000,private,4,to renovate,installed,,28,2768,,False,117,2816,3
9300546,house,villa,4367,399000,private,4,good,installed,,65,675,,True,150,1244,4
9300038,house,house,4020,299000,private,2,to be done up,not installed,1,,,,False,454,860,3
9299256,house,house,4400,295000,private,3,just renovated,installed,0,,700,1,False,152,775,3
9299117,house,house,4020,240000,private,3,just renovated,hyper equipped,,20,200,,False,150,300,3
9193895,house,house,4800,115000,private,3,to be done up,,,,25,,False,120,105,2
9298230,house,villa,4950,320000,private,4,as new,hyper equipped,0,,680,,False,168,760,4
8072295,house,mansion,4690,550000,private,6,as new,installed,0,,1000,,False,310,1339,4
9297219,house,villa,4570,529000,private,3,as new,,,,,1,False,347,902,4
9296951,house,house,4100,155000,private,2,to be done up,installed,0,16,160,,False,80,251,2
9296831,house,apartment block,4130,450000,private,5,as new,,,,,,False,135,1195,3
9296426,house,house,4500,139000,private,2,to be done up,semi equipped,0,10,130,,False,94,214,2
9295732,house,house,4900,105000,private,1,just renovated,,0,,,,False,62,0,2
9295480,house,house,4101,199000,private,3,good,semi equipped,0,21,75,,False,134,158,2
9295219,house,house,4040,49000,private,3,to renovate,not installed,0,22,100,,False,121,230,2
9294857,house,house,4470,185803,private,2,as new,,0,,150,,False,120,331,4
9294256,house,villa,4350,150000,public,3,good,installed,,,698,,False,147,1133,4
9257536,house,house,4577,150000,private,3,to be done up,installed,0,,225,,False,142,225,3
9293473,house,house,4620,150000,private,3,to renovate,,0,5,55,,False,240,0,2
9293235,house,house,4051,260000,private,4,good,semi equipped,0,,,,False,100,666,3
9293023,house,house,4480,398750,private,5,,not installed,0,23,,,False,170,1047,3
9292444,house,house,4500,200000,private,5,good,installed,0,20,,,False,184,107,2
9291321,house,bungalow,4121,60000,public,1,to renovate,,,,,,False,60,491,4
9234600,house,house,4432,254000,private,3,good,installed,0,36,294,,False,120,360,2
9290156,house,house,4624,299000,private,3,as new,installed,0,,450,1,False,112,0,3
9288906,house,house,4432,275000,private,3,good,semi equipped,0,26,200,,False,170,435,3
9288671,house,house,4100,95000,private,3,to renovate,,0,13,,,False,76,189,2
9288267,house,house,4171,219000,private,3,good,installed,0,,,,False,181,182,2
9287342,house,house,4801,140000,public,3,good,,,,,,False,,548,3
9286911,house,house,4000,170000,private,2,good,installed,,,,,False,,277,3
9286406,house,house,4101,239000,private,5,just renovated,,,,,,False,190,206,2
9286029,house,house,4030,145000,private,1,just renovated,semi equipped,0,12,,,False,56,30,2
9285484,house,house,4031,104500,private,3,to renovate,,0,11,31,,False,140,100,2
9284523,house,house,4870,239000,private,3,to be done up,installed,,,,,False,120,332,2
9282758,house,house,4020,109000,private,3,to be done up,semi equipped,,,,,False,93,40,2
9281304,house,villa,4280,1200000,private,7,,hyper equipped,0,,,1,True,602,9465,4
9228283,house,house,4317,299000,private,3,as new,usa installed,0,75,300,,False,300,-250,2
9279492,house,villa,4020,499000,private,4,as new,hyper equipped,,,,1,False,315,1268,4
9279501,house,house,4030,245000,private,4,to be done up,,0,20,200,,False,205,0,2
9279013,house,villa,4053,475000,private,4,,,0,,,,False,200,1166,4
9278576,house,mixed use building,4920,225000,private,2,just renovated,installed,,,,,False,160,0,2
9277678,house,house,4400,149500,private,2,to be done up,semi equipped,0,20,,,False,105,155,2
9276887,house,house,4600,159000,private,4,to be done up,not installed,0,22,187,,False,119,276,2
9276572,house,apartment block,4100,199000,private,3,good,not installed,0,,,,False,171,100,3
9276143,house,apartment block,4000,475000,private,5,good,semi equipped,,,,,False,334,0,2
9239707,house,house,4040,189000,private,4,,installed,0,10,,,False,154,381,4
9185805,house,house,4100,241000,private,3,as new,installed,,,,1,False,,290,2
9273450,house,house,4624,269000,private,5,good,not installed,0,43,210,,False,210,200,3
9006963,house,house,4990,160000,private,3,,,,,,,False,145,1516,4
8859474,house,house,4671,145000,private,2,,installed,0,16,,,False,104,400,3
9271732,house,house,4520,69500,private,2,to renovate,semi equipped,,,,,False,,115,3
9271344,house,house,4630,159000,private,3,good,,0,,,,False,118,52,2
9270788,house,apartment block,4000,189000,private,7,,semi equipped,0,6,,,False,264,100,2
9269849,house,house,4840,255000,private,3,just renovated,hyper equipped,,,,,False,135,70,2
9268838,house,house,4020,257800,private,3,as new,installed,,21,,,False,165,501,3
9268226,house,house,4000,240000,private,4,to renovate,semi equipped,0,8,,,False,200,60,2
9267823,house,apartment block,4800,315000,private,6,,installed,,,,,False,240,140,2
9266979,house,house,4180,205000,private,2,,installed,,14,,,False,100,3420,4
9266479,house,house,4460,199000,private,5,good,installed,,,347,,False,155,390,3
9265120,house,house,4420,275000,private,3,as new,hyper equipped,,,,,False,155,0,2
9264185,house,bungalow,4530,239000,private,2,good,installed,,50,1000,,False,123,1180,3
9263231,house,exceptional property,4280,335000,private,3,good,hyper equipped,,42,650,1,True,145,700,4
9262685,house,town house,4000,250000,private,2,to renovate,not installed,,,100,,False,120,150,2
9172693,house,country cottage,4560,349000,private,6,to be done up,not installed,,,,,False,380,1400,4
9260958,house,house,4252,289000,private,3,,,0,,,,False,,254,3
9260735,house,house,4100,80000,public,2,,not installed,,,300,,False,,400,2
9259739,house,house,4040,189000,private,3,good,hyper equipped,,20,10,,False,130,129,2
9259339,house,house,4171,220000,private,3,good,installed,0,15,600,,False,121,737,3
9258530,house,house,4040,155000,private,3,to be done up,not installed,0,,,,False,195,0,2
9258014,house,house,4000,120000,private,2,to be done up,semi equipped,0,,,,False,,78,2
8993546,house,house,4020,115000,private,3,to be done up,,,,,,False,121,124,2
9256394,house,house,4219,250000,private,4,as new,installed,,,,,False,200,0,4
9255919,house,villa,4610,710000,private,5,as new,hyper equipped,,70,,,True,400,2113,4
9255384,house,mixed use building,4052,700000,private,6,,installed,0,10,100,,False,340,983,4
9254886,house,house,4680,179000,private,4,to renovate,,,,,,False,150,0,3
9253788,house,house,4430,287000,private,3,as new,hyper equipped,0,20,200,1,False,176,215,3
