id,type_of_property,subtype_of_property,locality,price,type_of_sale,rooms,condition,equipped_kitchen,furnished,terrace,garden,open_fire,hasSwimmingPool,living_area_m2,surface_of_land_m2,number_frontage
9275917,house,house,4000,119500,private,2,to be done up,semi equipped,,12,,,False,111,90,2
9275066,house,house,4780,550000,private,3,good,,0,,,1,False,188,1880,4
9274531,house,house,4910,267000,private,3,,installed,0,30,,,False,120,612,3
9274088,house,house,4610,299000,private,4,to renovate,not installed,0,15,628,1,False,170,878,3
9273309,house,house,4102,167000,private,2,good,installed,0,95,380,,False,100,500,2
9272828,house,mixed use building,4870,215000,private,2,good,semi equipped,0,,65,,False,190,160,2
9270049,house,house,4801,195000,private,4,just renovated,semi equipped,0,,480,,False,146,650,2
9270566,house,house,4347,230000,private,3,as new,hyper equipped,,50,600,,False,110,0,2
9270047,house,villa,4432,394000,private,3,,installed,0,60,,,False,134,3200,4
9193272,house,house,4000,219000,private,5,,installed,,,,,False,180,98,2
9269042,house,villa,4367,310000,private,2,as new,installed,,,,,False,182,1310,4
8944933,house,house,4042,325000,private,6,good,installed,0,,400,,False,205,500,3
9268121,house,apartment block,4800,295000,private,10,good,,0,,,,False,257,110,2
9267378,house,house,4800,159000,private,5,to be done up,semi equipped,,18,200,,False,300,500,2
9266794,house,house,4000,199000,private,3,as new,installed,,,,,False,,90,2
9266442,house,house,4671,335000,private,4,good,installed,0,,450,,False,176,650,3
9266070,house,apartment block,4040,750000,private,6,,,0,,,,False,300,1180,3
9265506,house,house,4420,155000,private,4,good,semi equipped,,,140,,False,100,246,3
9264646,house,house,4400,249000,private,3,good,installed,,,,,False,140,0,2
9263905,house,house,4432,249000,private,3,just renovated,usa installed,,13,209,,False,125,394,4
9263004,house,house,4900,215000,private,4,just renovated,installed,,,1,,False,100,60,2
9168625,house,house,4970,175000,private,3,good,installed,1,,,,False,210,70,3
9261168,house,house,4420,115000,private,2,good,,0,9,,,False,55,47,2
9260849,house,apartment block,4900,170000,private,4,,,0,,,,False,200,67,2
9260568,house,chalet,4560,50000,public,1,,,,,,,False,,0,4
9259576,house,bungalow,4577,229000,private,2,good,usa semi equipped,0,15,400,,False,100,540,4
9258283,house,house,4130,270000,private,3,,,,,,,False,190,467,3
9257857,house,house,4920,50000,public,2,to restore,installed,,15,,,False,106,317,4
9256858,house,house,4347,259000,private,3,as new,,,,,,False,144,1350,4
9256108,house,house,4633,130000,public,4,good,installed,,,,,False,157,160,2
9255728,house,house,4257,272000,private,3,as new,not installed,0,,,,False,,433,2
9121299,house,house,4280,329000,private,3,just renovated,hyper equipped,,,,,False,230,917,4
9254679,house,house,4560,229000,private,4,to be done up,installed,0,,569,,False,203,569,2
9254137,house,house,4680,197000,private,3,,installed,0,,,,False,125,99,3
9253633,house,house,4500,197503,private,4,,,,,,,False,,539,3
9252903,house,house,4990,115000,private,2,to renovate,,0,,,,False,82,442,4
9252546,house,house,4032,165000,private,2,,installed,0,,25,,False,90,89,2
9251670,house,apartment block,4840,398000,private,6,good,,,,,,False,210,270,2
9241261,house,house,4340,225000,private,2,good,installed,0,,200,,False,76,0,2
9251089,house,house,4460,194900,private,3,good,semi equipped,,35,100,,False,105,342,3
9250314,house,house,4102,144500,private,4,good,installed,1,15,90,,False,155,225,2
9249646,house,mixed use building,4340,450000,private,3,good,semi equipped,,,,,False,190,474,3
9249299,house,house,4030,115000,private,3,to renovate,installed,,,,,False,131,120,3
9248790,house,house,4430,199000,private,4,good,semi equipped,0,,80,,False,160,175,3
9247890,house,house,4040,115000,private,4,to be done up,not installed,0,23,,,False,84,82,2
9247191,house,house,4432,255000,private,3,as new,,,,,,False,144,205,2
9246750,house,mixed use building,4102,170000,private,5,good,,0,,,,False,372,250,3
9101735,house,house,4020,195000,private,5,to be done up,installed,0,10,,,False,,130,2
9245218,house,house,4460,210000,private,4,to be done up,,,12,83,,False,,205,2
9244043,house,house,4470,60000,public,3,to renovate,,,,,,False,,879,2
9243084,house,house,4400,149500,private,3,good,hyper equipped,0,,23,,False,115,75,2
9242615,house,house,4100,185000,private,2,good,semi equipped,,,,,False,110,122,2
9241724,house,house,4280,225000,private,4,to be done up,semi equipped,0,,,,False,160,585,4
9093585,house,house,4100,169500,private,3,just renovated,hyper equipped,,,1,,False,122,75,3
9099968,house,house,4400,139000,private,3,to be done up,not installed,,,,,False,120,0,3
9240590,house,other property,4682,699000,private,4,good,hyper equipped,0,,,,False,240,20000,4
9239709,house,house,4670,379000,private,3,,installed,0,,,,False,270,1212,4
8986590,house,house,4540,360000,private,5,,installed,0,30,10367,,False,348,10367,2
9237908,house,house,4100,87000,private,2,good,semi equipped,0,,,,False,80,0,2
9145962,house,house,4621,268000,private,5,good,installed,,60,700,,False,228,1127,3
9234949,house,mixed use building,4020,285000,public,3,just renovated,installed,1,,,,False,245,43,2
9234574,house,house,4682,245000,private,3,good,installed,,,,,False,156,537,4
9233952,house,house,4683,185000,private,3,,installed,0,,,,False,185,1969,3
9209267,house,house,4000,105000,private,3,to renovate,,0,,,,False,,0,2
9232633,house,house,4683,295000,private,4,as new,installed,,,165,,False,156,238,2
9231940,house,house,4141,385000,private,4,,usa installed,,,,,False,230,2710,4
9230573,house,house,4990,175000,private,6,to be done up,installed,0,,,,False,179,666,3
9229204,house,house,4020,250000,private,8,to renovate,,,,,,False,180,7819,3
9228722,house,farmhouse,4860,275000,private,5,good,installed,,30,400,,False,166,665,4
9228279,house,house,4460,158000,private,3,good,semi equipped,0,,450,,False,110,522,3
9227195,house,house,4317,222885,private,3,,not installed,,,,,False,,600,3
9172940,house,bungalow,4690,199000,private,3,,installed,0,30,150,,False,109,770,4
9226101,house,bungalow,4470,180000,private,4,to be done up,semi equipped,,,,,False,144,619,4
9225064,house,house,4430,181500,private,2,good,hyper equipped,0,12,200,,False,155,280,2
9224374,house,town house,4610,205000,private,3,as new,installed,0,15,77,,False,105,175,2
9223573,house,house,4101,279500,private,4,good,installed,0,,,,False,150,212,2
9222490,house,house,4100,130000,private,3,good,semi equipped,,,,,False,,0,3
9221549,house,house,4000,265000,private,4,,,0,7,50,,False,,0,2
9220820,house,house,4460,120000,private,4,to renovate,not installed,0,,204,,False,216,303,3
9219800,house,house,4800,185000,private,3,good,installed,0,,,,False,186,142,2
9218669,house,house,4623,198500,private,1,,installed,0,,,,False,122,309,3
9217825,house,house,4960,235000,private,3,to be done up,installed,0,,,,False,,517,4
9216810,house,house,4000,225000,private,3,to be done up,installed,0,3,36,,False,136,102,2
9216095,house,apartment block,4020,249000,private,3,good,installed,,,,,False,105,0,1
9215257,house,house,4210,425000,private,4,as new,usa installed,0,48,2937,,False,158,3017,4
9214075,house,apartment block,4260,550000,private,2,good,installed,,18,,,False,165,2126,4
9213272,house,house,4420,339000,private,5,good,installed,0,37,230,,False,225,358,2
9212356,house,town house,4100,230000,private,3,just renovated,installed,0,9,340,,False,150,450,3
9210371,house,house,4480,149900,private,3,,not installed,0,,,,False,,116,2
9209259,house,house,4577,92000,private,2,,,0,,,,False,100,580,4
9159497,house,house,4020,118000,private,2,to be done up,,0,,,,False,93,0,2
9208094,house,villa,4540,399000,private,5,good,installed,0,50,150,1,False,258,838,4
9206851,house,house,4460,205000,private,3,good,installed,0,25,,,False,115,517,2
9205254,house,apartment block,4020,267000,private,2,as new,installed,,,,,False,,96,3
9205070,house,villa,4860,320000,private,5,,,0,15,350,,False,204,428,3
9202863,house,house,4845,400000,private,4,good,,,,,,False,170,1409,4
9201249,house,villa,4851,925000,private,9,good,installed,0,,910,,False,350,1901,3
9200511,house,house,4400,296939,private,3,,,,,,,False,138,555,3
9199707,house,apartment block,4632,790000,private,6,,installed,0,74,,,False,,2820,4
9053157,house,house,4608,359000,private,396,,installed,0,,,,False,,267,2
9011299,house,house,4400,229000,private,3,good,semi equipped,,,,,False,247,0,2
9195197,house,villa,4830,425000,private,5,,,,20,,2,False,275,1500,4
9194785,house,house,4420,125000,private,2,to be done up,semi equipped,0,,340,,False,104,430,3
9193973,house,mixed use building,4000,179000,private,3,to be done up,not installed,0,,,,False,145,60,2
9193116,house,house,4557,129000,private,2,to renovate,not installed,,,,,False,102,0,2
9192782,house,mixed use building,4100,215000,private,3,to be done up,,0,,,,False,350,170,2
9191136,house,house,4000,299000,private,3,good,hyper equipped,,,320,,False,110,496,2
9190646,house,house,4140,260000,private,3,as new,not installed,,,,,False,117,322,3
9189378,house,house,4100,139000,private,4,to be done up,not installed,,,,,False,,150,3
9187144,house,house,4800,277944,private,4,,,,,,,False,140,186,2
9186744,house,house,4032,285000,private,2,just renovated,,,,,,False,,266,2
9186159,house,house,4190,229000,private,3,to renovate,installed,0,,,,False,161,614,4
9185006,house,house,4317,245000,private,3,to be done up,installed,,,,,False,147,898,4
9184024,house,house,4252,295000,private,4,as new,,0,30,1300,1,False,220,2300,4
9182996,house,house,4030,185000,private,3,good,installed,0,12,,,False,108,70,2
9181899,house,house,4670,265000,private,3,as new,,,17,64,,False,130,0,2
9181411,house,house,4140,459000,private,4,,usa installed,0,,1700,,False,283,2605,3
8940551,house,house,4910,279000,private,3,good,installed,,38,,,False,180,474,2
9179902,house,town house,4821,160000,private,3,,semi equipped,0,,,,False,116,398,3
9178870,house,apartment block,4800,229000,private,5,to renovate,not installed,0,14,,,False,358,228,3
9177473,house,apartment block,4800,525000,private,9,good,installed,0,30,,,False,468,320,2
9176856,house,apartment block,4420,350000,private,4,good,installed,0,12,,,False,183,69,2
9175082,house,house,4450,290000,private,2,good,hyper equipped,,,870,1,False,250,1000,4
9173750,house,house,4570,169000,private,3,just renovated,,0,12,,,False,130,720,4
9172689,house,house,4610,348000,private,4,as new,,,,,,False,,985,4
9171471,house,house,4801,140000,private,3,good,,,32,,,False,,264,2
9170362,house,house,4600,200000,private,5,,installed,0,,,,False,235,435,2
9169431,house,house,4671,265000,private,3,as new,,,17,64,,False,130,0,2
9168339,house,house,4300,275000,private,3,,,0,,,,False,142,505,2
9167426,house,town house,4602,372246,private,3,,usa hyper equipped,0,28,430,,False,144,552,3
9165062,house,apartment block,4020,599000,private,382,to renovate,,,,160,,False,,281,2
9163457,house,house,4460,158000,private,3,to renovate,installed,0,20,190,,False,130,250,2
9162475,house,house,4420,79000,private,1,to be done up,,0,9,80,,False,70,0,3
9161951,house,mansion,4800,210000,private,5,to be done up,,,20,456,,False,200,556,2
9161634,house,apartment block,4000,249000,private,3,good,not installed,0,,,,False,130,0,2
9160217,house,house,4500,195000,private,5,as new,installed,0,,,,False,146,155,2
9159511,house,villa,4300,311896,private,3,,,0,,600,,False,175,875,4
9158729,house,house,4100,219000,private,3,good,semi equipped,0,31,,,False,100,250,2
9157427,house,apartment block,4801,525000,private,4,good,installed,0,34,150,,False,220,298,2
9155499,house,house,4101,117500,private,3,,,,88,,,False,138,202,2
8963279,house,house,4500,420000,private,4,to be done up,installed,,40,775,1,False,320,888,4
9153523,house,house,4350,175000,private,3,good,,,,,,False,127,336,3
9151916,house,house,4400,220000,private,3,good,not installed,,,,,False,115,161,3
9151166,house,house,4020,278000,private,3,,installed,0,34,,,False,106,0,2
9146026,house,house,4400,78000,private,4,to renovate,semi equipped,0,,,,False,140,112,3
9144047,house,house,4840,249000,private,4,good,semi equipped,,,,,False,165,224,2
9143640,house,house,4837,326383,private,3,as new,usa hyper equipped,0,24,,,False,130,293,2
8596760,house,house,4300,125000,private,3,to be done up,,0,,,,False,,0,2
