id,type_of_property,subtype_of_property,locality,price,type_of_sale,rooms,condition,equipped_kitchen,furnished,terrace,garden,open_fire,hasSwimmingPool,living_area_m2,surface_of_land_m2,number_frontage
9279418,house,house,4317,350000,private,4,good,installed,0,80,600,,True,223,852,4
9104031,house,apartment block,4032,139000,private,2,,,,,,,False,94,55,2
9278437,house,villa,4300,325000,private,3,as new,hyper equipped,0,,,,False,147,700,4
9132784,house,house,4860,159000,private,4,,installed,0,16,55,,False,220,180,2
9276789,house,house,4800,344000,private,3,to renovate,not installed,,,,,False,169,90,2
9276541,house,house,4570,115000,private,3,to renovate,semi equipped,0,,,,False,,0,3
9215413,house,bungalow,4460,275000,private,3,to be done up,semi equipped,0,8,1446,1,False,125,1571,4
9275147,house,mixed use building,4122,550000,private,4,,,,,,,False,336,2548,4
9274800,house,town house,4821,125000,private,2,good,installed,,,,,False,87,0,3
9274213,house,apartment block,4900,1589000,private,12,good,,,,,,False,,880,4
9273341,house,house,4130,350000,private,4,,installed,0,30,570,,False,200,1021,4
9272841,house,house,4540,189000,private,3,good,semi equipped,0,,,,False,166,195,3
9272045,house,villa,4802,300000,private,4,,installed,0,20,,,False,180,1280,4
9270748,house,house,4800,199000,private,6,good,,0,16,160,,False,205,246,3
9057081,house,apartment block,4800,279000,private,6,good,installed,0,,,,False,250,0,2
9269790,house,villa,4550,640000,private,7,as new,installed,0,65,9000,1,False,400,10000,4
9269162,house,house,4460,150000,private,3,good,installed,,,,,False,123,82,3
9268836,house,house,4020,264770,private,3,as new,installed,,21,,,False,165,570,3
9268152,house,house,4600,135000,private,2,to be done up,,0,,125,,False,123,60,3
9267738,house,house,4800,249000,private,8,good,,,,43,,False,350,153,2
9266830,house,house,4100,117000,private,2,to be done up,installed,0,,86,,False,52,114,3
9266457,house,house,4032,99000,private,2,to renovate,not installed,,11,63,,False,81,111,3
9266071,house,house,4340,299000,private,4,,installed,0,,,,False,163,1008,4
9265556,house,bungalow,4920,35000,private,2,as new,,,,,,False,,611,4
9264133,house,town house,4431,240000,private,3,to be done up,installed,,17,140,,False,197,200,2
9263198,house,house,4100,199000,private,3,just renovated,installed,0,20,50,,False,95,123,2
9262301,house,house,4210,375000,private,2,as new,installed,,,2800,1,False,210,3062,3
9261557,house,mansion,4000,309000,private,4,just renovated,hyper equipped,,15,,,False,205,85,2
9260943,house,house,4420,210000,private,2,good,installed,,,,,False,201,350,3
9260595,house,house,4030,195000,private,2,good,installed,,,,,False,,248,2
9259685,house,house,4820,230000,private,6,to renovate,semi equipped,0,37,,,False,279,251,3
9259222,house,house,4900,175000,private,3,as new,installed,,30,,,False,170,80,2
9258361,house,house,4020,192000,private,3,to be done up,not installed,0,,443,,False,150,553,2
9257896,house,house,4317,240000,private,4,as new,installed,,,550,,False,192,192,2
9257011,house,house,4000,285000,private,3,to be done up,,0,,,1,False,166,544,3
9256256,house,house,4031,235000,private,3,as new,installed,,,24,,False,150,100,2
9255237,house,house,4920,169000,private,2,good,,0,12,30,,False,95,245,4
9254737,house,villa,4040,385000,private,3,good,installed,0,55,700,,False,210,1360,4
9254216,house,house,4520,168000,private,2,good,installed,,9,40,,False,76,148,2
9253743,house,house,4460,165000,private,2,to be done up,not installed,0,15,140,,False,,0,2
9253014,house,mansion,4800,185000,private,5,to renovate,not installed,0,48,130,,False,230,250,2
9252685,house,house,4624,150000,private,2,good,installed,0,,,,False,74,404,2
9251832,house,house,4140,110000,public,2,to be done up,,,,,,False,,460,3
9251413,house,house,4802,395000,private,4,as new,hyper equipped,,,,,False,150,718,3
9251120,house,house,4420,149000,private,2,to restore,semi equipped,0,40,280,,False,115,413,3
9250381,house,house,4540,129500,private,3,to be done up,not installed,,20,200,,False,130,220,2
9249903,house,house,4432,390000,private,4,as new,,0,34,,,False,214,864,4
9249301,house,house,4101,199000,private,3,good,installed,,45,233,,False,113,293,2
9248823,house,house,4860,234000,private,5,good,semi equipped,0,30,80,,False,170,369,3
9247916,house,house,4557,259000,private,3,,installed,0,,160,,False,136,345,3
9247287,house,house,4960,385000,private,3,good,installed,0,54,979,,False,192,1046,4
9246811,house,apartment block,4000,260000,private,4,to be done up,,0,,,,False,185,43,2
9246054,house,house,4100,223000,private,3,to renovate,not installed,0,,,1,False,122,489,3
9176097,house,house,4802,199900,private,3,good,installed,,,,,False,,180,2
9244197,house,house,4500,179000,private,4,good,installed,0,,,,False,180,160,2
9243240,house,country cottage,4700,275000,public,3,good,installed,,,4000,,False,287,4345,4
9242618,house,house,4100,190000,private,4,good,installed,,,,,False,,0,3
9241769,house,house,4800,155000,private,3,good,,0,,,,False,110,0,2
8887689,house,farmhouse,4287,499000,private,3,good,hyper equipped,,,,,False,150,1835,3
9240710,house,house,4800,165000,private,4,as new,installed,0,,,,False,159,0,3
9057255,house,house,4480,110000,private,2,good,installed,0,,30,,False,67,65,2
9239506,house,apartment block,4000,149000,public,4,to renovate,,,,,,False,,85,2
9033342,house,house,4420,119000,private,1,,semi equipped,,,,,False,50,0,4
9238076,house,villa,4577,240000,private,2,,installed,,40,,1,False,150,665,4
9236559,house,house,4040,179000,private,2,to be done up,not installed,0,,120,,False,110,242,2
9235584,house,house,4860,129000,private,3,to be done up,semi equipped,0,12,45,,False,75,0,2
9235011,house,mansion,4020,575000,private,5,good,semi equipped,0,,30,1,False,400,140,2
9234658,house,apartment block,4000,449000,private,5,good,installed,0,,,,False,300,0,2
9233966,house,villa,4470,459000,private,4,as new,installed,,60,,,False,336,2028,4
9233392,house,house,4920,365000,private,3,good,installed,,,,,False,,0,4
9232141,house,house,4630,350000,private,5,good,installed,0,,,1,False,325,560,4
9231672,house,house,4760,295000,private,3,to be done up,,,,,,False,120,866,4
9230697,house,house,4102,185000,private,4,,,,,,,False,150,76,3
9230051,house,mixed use building,4800,175000,private,8,to be done up,not installed,0,,,,False,350,93,2
9229341,house,house,4020,299000,private,3,as new,,0,8,,,False,140,250,3
9179135,house,house,4870,185000,private,2,to be done up,,,,,,False,107,1218,3
9226642,house,house,4020,155000,private,5,,,0,7,,,False,120,65,2
9226299,house,villa,4610,310000,private,3,as new,semi equipped,,,526,,False,167,633,4
9225227,house,house,4053,475000,private,5,to be done up,installed,0,42,872,1,False,230,1072,4
9224467,house,house,4820,149000,private,4,to be done up,semi equipped,0,10,80,,False,202,130,2
9224237,house,house,4053,375000,private,5,good,semi equipped,,116,,,False,170,900,4
9138690,house,house,4577,175000,private,2,to be done up,semi equipped,,,700,,False,115,849,3
9221955,house,house,4920,199000,private,3,to be done up,not installed,0,,,,False,144,178,3
9221038,house,house,4500,60000,public,2,to renovate,,,,,,False,,60,2
9219889,house,house,4042,225000,private,3,good,installed,,1,,,False,140,0,2
9218684,house,house,4821,169000,private,3,to be done up,installed,,,,,False,95,266,3
9218056,house,house,4351,350000,private,4,good,installed,0,,,,False,240,1766,3
9034117,house,mixed use building,4000,498000,private,4,good,,0,46,,,False,131,424,2
9216406,house,mixed use building,4860,150000,private,5,to be done up,,,,,,False,,123,2
9215357,house,chalet,4920,217000,private,1,as new,,,,,,False,47,555,4
9214850,house,house,4030,165000,private,3,to renovate,semi equipped,,,,,False,140,205,2
9213625,house,house,4500,206920,private,3,,,,,,,False,,450,4
9212408,house,house,4680,254000,private,3,good,installed,,32,500,,False,120,610,3
9211613,house,house,4800,195000,private,7,good,semi equipped,0,,64,,False,110,120,2
9210952,house,exceptional property,4570,575000,private,2,just renovated,hyper equipped,0,,820,,False,254,989,4
9210161,house,house,4432,259000,private,3,to be done up,semi equipped,0,,356,,False,154,500,2
9209277,house,villa,4040,449000,private,4,,installed,0,21,,,False,267,1399,4
9208942,house,villa,4140,384000,private,3,good,,0,,,,False,247,1008,4
9206905,house,house,4340,329000,private,4,,,,,,,False,302,1800,4
9205540,house,house,4820,94500,private,2,good,usa semi equipped,,,,,False,,0,3
9205075,house,villa,4860,320000,private,5,,,0,15,,,False,236,642,3
9201559,house,house,4100,145000,private,3,to be done up,,,,,,False,,0,2
9200579,house,house,4400,277227,private,3,,,,,,,False,,338,2
9199584,house,house,4690,249000,private,3,,hyper equipped,0,36,80,,False,202,241,2
9198525,house,house,4460,129000,private,3,to renovate,,0,,,,False,95,0,2
9197561,house,house,4430,269000,private,3,good,not installed,0,,,,False,337,0,2
9195357,house,apartment block,4000,310000,private,11,good,semi equipped,0,25,,,False,290,290,3
9194844,house,apartment block,4630,159000,private,5,good,,,,,,False,235,0,2
9193995,house,house,4420,89900,private,3,to renovate,not installed,0,,,,False,80,45,2
9193338,house,house,4102,145000,private,3,,installed,0,10,,,False,144,180,3
9192849,house,house,4432,199000,private,4,just renovated,hyper equipped,0,,,,False,120,0,3
9191157,house,house,4720,198000,private,4,to be done up,,,,,,False,110,260,2
8793635,house,house,4460,149000,private,3,,not installed,,,,,False,180,0,3
9189543,house,house,4601,399000,private,5,as new,installed,0,50,,1,False,270,731,4
9187400,house,house,4000,189000,private,3,to be done up,,,,,,False,140,0,2
9186795,house,house,4610,145000,private,2,good,installed,0,,,,False,112,0,2
9167300,house,house,4800,250000,private,4,good,,0,35,,,False,240,158,2
9184268,house,town house,4020,130000,private,2,to renovate,not installed,0,,,,False,129,91,2
9182847,house,villa,4520,400000,private,3,as new,usa semi equipped,0,45,,,False,200,1163,4
9181820,house,house,4577,247000,private,3,,,,,,,False,,1170,4
9181436,house,bungalow,4450,308000,private,3,,,0,45,1300,,False,161,1608,4
9181027,house,house,4140,285000,private,3,as new,not installed,,,,,False,100,560,4
9178975,house,farmhouse,4840,150000,private,3,to renovate,,,,,,False,212,1100,3
9177546,house,bungalow,4610,299000,private,2,good,,0,22,270,,False,105,640,4
7616365,house,house,4851,60000,private,3,,,,,,,False,148,104,4
9175620,house,house,4950,495000,private,6,just renovated,,0,,,,False,399,2315,4
9174203,house,house,4960,699000,private,4,,hyper equipped,0,40,,,True,,24516,4
9173190,house,house,4280,145000,private,2,to renovate,,0,,,,False,70,1000,3
9171511,house,house,4102,70000,public,3,to be done up,installed,,,,,False,92,164,2
9170533,house,apartment block,4900,699000,private,9,good,not installed,0,,,,False,443,0,3
8934781,house,apartment block,4600,339000,private,2,,installed,0,30,115,,False,217,223,4
9167428,house,house,4837,334450,private,3,as new,usa hyper equipped,0,24,,,False,145,303,3
9165229,house,house,4000,230000,private,4,good,installed,,,131,,False,160,190,2
9163616,house,house,4180,229000,private,5,good,,,,,1,False,301,162,3
8462951,house,house,4860,109000,private,3,good,installed,0,17,,,False,90,0,2
9161988,house,house,4257,359000,private,3,as new,hyper equipped,0,20,192,,False,160,280,2
9161723,house,exceptional property,4140,690000,private,3,good,installed,0,,,1,False,350,6000,4
9160926,house,house,4100,135000,private,3,to renovate,not installed,,,,,False,,580,2
9159649,house,house,4840,286900,private,3,,not installed,0,,,,False,174,198,2
9157677,house,house,4790,165000,private,3,good,installed,0,,,1,False,90,506,3
9155665,house,house,4340,313623,private,3,,not installed,,,,,False,,592,4
8968184,house,house,4180,129000,private,3,to renovate,not installed,0,25,,,False,165,489,3
9108288,house,house,4100,185000,private,3,to renovate,not installed,0,13,281,,False,94,349,3
9152240,house,apartment block,4020,440000,private,6,,,0,,,,False,414,109,2
9149962,house,house,4100,210000,private,4,just renovated,installed,0,,100,,False,155,155,2
9146413,house,mansion,4800,225000,private,5,to be done up,semi equipped,0,18,,,False,164,240,2
9144392,house,house,4577,160000,private,3,,,,,,,False,,305,3
9143644,house,house,4820,391000,private,4,as new,usa hyper equipped,0,24,380,,False,148,521,3
9142949,house,house,4102,84000,private,3,to renovate,not installed,0,,,,False,150,0,2
9141736,house,house,4606,455000,private,3,,usa hyper equipped,,16,500,,False,153,900,3
9135021,house,house,4607,220000,private,3,as new,not installed,,12,340,,False,110,460,4
9138967,house,house,4020,235000,private,3,just renovated,not installed,0,15,20,,False,120,199,3
9137725,house,house,4670,175000,private,3,to renovate,not installed,0,85,226,,False,151,376,4
9135998,house,mixed use building,4500,149000,private,2,just renovated,semi equipped,0,6,,,False,134,0,2
9134292,house,house,4041,430000,private,4,as new,hyper equipped,,50,2400,,False,200,2600,4
9133513,house,house,4000,445445,private,4,,usa hyper equipped,0,29,,,False,174,995,3
9071387,house,mixed use building,4460,215000,private,3,good,not installed,,,124,,False,,221,2
8990469,house,house,4837,138000,private,4,to renovate,not installed,0,,124,,False,160,180,2
9127437,house,country cottage,4317,105000,private,1,to renovate,,,,216,,False,,460,3
9125066,house,house,4000,180000,private,3,good,installed,0,,,,False,105,132,2
9123436,house,house,4460,268485,private,2,,,0,18,,,False,117,375,2
9121015,house,house,4420,179000,private,4,good,,,16,,,False,150,0,2
9036193,house,house,4960,250000,private,2,to renovate,installed,0,28,,,False,98,0,4
9106174,house,house,4253,255000,private,3,,,,,,,False,140,784,3
8786232,house,house,4700,180000,private,3,to renovate,not installed,,,,,False,120,320,4
9116046,house,house,4610,295000,private,5,to be done up,,1,,,,False,249,124,2
9114573,house,house,4287,214950,private,3,good,,0,20,520,1,False,175,618,2
9007057,house,house,4602,220000,private,3,good,hyper equipped,,25,118,,False,150,180,3
9079482,house,house,4690,235000,private,4,good,,,,,,False,230,930,3
9110284,house,house,4030,179000,private,2,as new,installed,0,50,,,False,90,0,2
9108911,house,house,4550,385000,private,3,,,0,30,,,False,203,835,3
9105848,house,house,4852,435000,private,6,good,installed,,,,,False,250,2020,4
9103938,house,house,4020,289000,private,8,to be done up,installed,0,30,,,False,275,0,2
9101952,house,house,4577,27500,private,3,good,installed,,,,,False,270,493,3
8930309,house,apartment block,4730,229000,private,6,to restore,,,,,,False,630,951,4
9099318,house,house,4430,73000,private,3,,,,,,,False,70,0,3
9094264,house,farmhouse,4623,298000,private,3,to renovate,not installed,0,,980,,False,210,1100,3
9088912,house,house,4480,179000,private,3,good,installed,,,100,,False,150,0,3
9084489,house,house,4840,314613,private,3,,usa hyper equipped,0,24,,,False,141,246,2
9082733,house,villa,4347,300000,private,3,,not installed,0,,500,,False,177,638,4
9078353,house,bungalow,4900,288000,private,3,as new,installed,,,1277,,False,98,1417,4
9071869,house,house,4570,185000,private,2,,not installed,,,,,False,94,45,2
9067929,house,house,4020,129000,private,2,good,semi equipped,0,40,,,False,105,97,2
9062705,house,mansion,4000,499000,private,7,to be done up,semi equipped,0,,479,,False,700,626,2
9057902,house,house,4040,225000,private,3,good,,,,243,,False,114,310,2
9054880,house,house,4520,273057,private,3,as new,,0,,,,False,,528,4
9049898,house,house,4460,245000,private,4,as new,,0,10,75,,False,145,141,2
9043299,house,house,4671,295500,private,3,as new,hyper equipped,0,,,,False,182,368,3
9042053,house,house,4630,328150,private,4,as new,not installed,0,32,550,,False,236,550,3
9035860,house,house,4141,279000,private,3,,not installed,0,,,,False,142,351,3
8810702,house,house,4420,179000,private,4,good,usa semi equipped,0,,,,False,222,244,3
9018823,house,exceptional property,4000,1380000,private,20,to renovate,,,,,,False,1700,730,3
7792695,house,house,4280,80000,private,4,to be done up,,0,,,,False,140,1000,3
8781206,house,apartment block,4820,188000,private,8,to be done up,,,18,,,False,230,112,2
9005219,house,house,4801,219000,private,3,good,semi equipped,0,10,,,False,140,230,2
9000918,house,exceptional property,4800,750000,private,22,,installed,0,50,,,False,595,3441,4
8994485,house,house,4300,277500,private,3,as new,,0,,546,,False,158,657,4
8992216,house,mansion,4130,350000,private,4,as new,,0,16,,,False,381,706,4
8986894,house,house,4460,320000,private,4,,installed,0,,,,False,228,821,4
8978238,house,house,4840,227340,private,3,,,,,,,False,,280,2
8972589,house,house,4671,425000,private,3,good,,0,50,,,False,160,1154,4
8964934,house,house,4690,199000,private,3,just renovated,,0,,,,False,130,495,3
8963901,house,mixed use building,4050,1850000,private,4,as new,,,,,,False,,2036,4
8960943,house,house,4801,340473,private,3,as new,usa hyper equipped,0,24,,,False,146,384,2
8956167,house,house,4020,135000,private,4,,not installed,0,,100,,False,125,270,2
8952852,house,house,4700,249000,private,1,good,,,,,,False,50,1384,2
8948560,house,house,4780,285000,private,3,good,installed,0,,,,False,180,995,4
8943623,house,house,4557,370076,private,2,as new,,0,,,,False,,600,4
8878791,house,house,4170,130000,private,2,to be done up,,,,,,False,,148,2
8922242,house,house,4400,155000,private,3,good,semi equipped,,,,,False,210,255,4
8917286,house,apartment block,4920,199000,private,3,,semi equipped,0,,,,False,272,170,2
8913677,house,house,4700,272336,private,4,as new,,,,,,False,,340,3
8902407,house,house,4681,488000,private,4,,,,,,,False,,3100,4
8891765,house,apartment block,4800,187000,private,4,good,,0,,,,False,414,0,2
8878111,house,bungalow,4350,349000,private,3,good,installed,0,50,,,False,200,1242,4
8865386,house,house,4607,359000,private,3,good,,0,,,,False,183,917,4
8850283,house,house,4000,189000,private,4,good,installed,,,,,False,101,0,2
8829101,house,house,4260,265000,private,4,to be done up,,0,,,,False,206,447,4
8821237,house,house,4800,395000,private,10,to renovate,semi equipped,0,,,1,False,,389,4
8617565,house,apartment block,4960,530000,private,6,,,,,,,False,,525,4
8805118,house,mansion,4000,399000,private,4,good,installed,,9,,,False,325,130,2
8791625,house,mixed use building,4800,320000,private,2,good,not installed,0,,,,False,188,991,2
8759595,house,house,4950,420000,private,3,to be done up,hyper equipped,,,,,False,520,6300,4
8743847,house,house,4800,255000,private,4,,not installed,0,,,,False,130,0,3
8740000,house,house,4500,299900,private,5,to be done up,not installed,,,,,False,280,0,2
8724245,house,house,4550,990000,private,8,good,installed,0,,5457,1,False,626,5457,2
